timestamp,event,asset,window,direction,price,pnl,cumulative,cl_open,cl_close
2026-03-09T00:30:03+00:00,WIN,SOL,5m,UP,0.97,0.15,6.91,81.82,2026-03-09T00:30:03+00:000
2026-03-09T00:30:03+00:00,WIN,BTC,5m,UP,0.91,0.49,7.4,65976.31,2026-03-09T00:30:03+00:000
2026-03-09T00:30:03+00:00,WIN,ETH,5m,UP,0.96,0.21,7.61,1933.67,2026-03-09T00:30:03+00:000
2026-03-09T00:40:03+00:00,WIN,BTC,5m,UP,0.95,0.26,7.87,66399.57,2026-03-09T00:40:03+00:000
2026-03-09T00:45:03+00:00,WIN,ETH,5m,DOWN,0.97,0.15,8.03,1957.72,2026-03-09T00:45:03+00:000
2026-03-09T00:55:03+00:00,WIN,ETH,5m,DOWN,0.95,0.26,8.29,1952.97,2026-03-09T00:55:03+00:000
2026-03-09T01:00:03+00:00,WIN,BTC,5m,UP,0.93,0.38,8.67,66321.75,2026-03-09T01:00:03+00:000
2026-03-09T01:00:03+00:00,WIN,ETH,5m,UP,0.96,0.21,8.87,1948.36,2026-03-09T01:00:03+00:000
2026-03-09T01:05:03+00:00,WIN,SOL,5m,DOWN,0.96,0.21,9.08,82.34,2026-03-09T01:05:03+00:000
2026-03-09T01:05:03+00:00,WIN,BTC,5m,DOWN,0.89,0.62,9.7,66365.63,2026-03-09T01:05:03+00:000
2026-03-09T01:10:03+00:00,WIN,BTC,5m,DOWN,0.86,0.81,10.51,66246.32,2026-03-09T01:10:03+00:000
2026-03-09T01:10:03+00:00,WIN,ETH,5m,DOWN,0.87,0.75,11.26,1948.07,2026-03-09T01:10:03+00:000
2026-03-09T01:15:04+00:00,WIN,BTC,5m,UP,0.9,0.56,11.82,66235.41,2026-03-09T01:15:04+00:000
2026-03-09T01:20:03+00:00,WIN,ETH,5m,UP,0.97,0.15,11.97,1949.57,2026-03-09T01:20:03+00:000
2026-03-09T01:24:35+00:00 srv1279687 cl-sniper[2580427]: 2026-03-09T01:24:35.850720Z  INFO [SL] DOWN ETH bid=0.270 <= 0.460(50% of 0.920) recovery=0.265,,,,,,,,,
2026-03-09T01:25:03+00:00,SL,ETH,5m,DOWN,0.92,-3.56,8.41,1951.82,2026-03-09T01:25:03+00:000
2026-03-09T01:30:03+00:00,WIN,SOL,5m,DOWN,0.93,0.38,8.79,82.74,2026-03-09T01:30:03+00:000
2026-03-09T01:35:03+00:00,WIN,SOL,5m,UP,0.96,0.21,9,82.55,2026-03-09T01:35:03+00:000
2026-03-09T01:40:03+00:00,WIN,ETH,5m,DOWN,0.85,0.88,9.88,1959.96,2026-03-09T01:40:03+00:000
2026-03-09T01:40:03+00:00,WIN,SOL,5m,DOWN,0.95,0.26,10.14,82.72,2026-03-09T01:40:03+00:000
2026-03-09T01:50:03+00:00,WIN,ETH,5m,DOWN,0.96,0.21,10.35,1958.48,2026-03-09T01:50:03+00:000
2026-03-09T01:50:03+00:00,WIN,SOL,5m,DOWN,0.97,0.15,10.51,82.7,2026-03-09T01:50:03+00:000
2026-03-09T02:10:03+00:00,WIN,BTC,5m,UP,0.96,0.21,10.71,66179.97,2026-03-09T02:10:03+00:000
2026-03-09T02:10:03+00:00,WIN,SOL,5m,UP,0.97,0.15,10.87,82.04,2026-03-09T02:10:03+00:000
2026-03-09T02:15:03+00:00,WIN,ETH,5m,DOWN,0.97,0.15,11.02,1948.39,2026-03-09T02:15:03+00:000
2026-03-09T02:15:03+00:00,WIN,BTC,5m,DOWN,0.94,0.32,11.34,66227.31,2026-03-09T02:15:03+00:000
2026-03-09T02:25:03+00:00,WIN,ETH,5m,UP,0.97,0.15,11.5,1940.8,2026-03-09T02:25:03+00:000
