ts,run_id,event,strategy,asset,slug,left_s,bn_px,up_ask,up_bid,up_spread,up_bid_sz,up_ask_sz,up_n_bids,up_n_asks,up_age_ms,dn_ask,dn_bid,dn_spread,dn_bid_sz,dn_ask_sz,dn_n_bids,dn_n_asks,dn_age_ms,fill_up,fill_dn,cost_up,cost_dn,dump_side,dump_px,dump_bid,dump_bid_src,dump_rec,cl_open,cl_close,cl_delta_pct,settle_dir,settle_src,clob_up_bid,clob_dn_bid,entry_fees,dump_fee,pnl,cum_pnl,cap,w,l,flags,
2026-03-08T20:20:00.966882448+00:00,R0308_200647,SETTLE,S3,sol,sol-updown-5m-1773000900,0,82.3,,,0.01,,,,,,,,0.01,,,,,,,,,,,0.099,,,82.14,82.33,0.2337,UP,CL,0.999,0,0.3088,0.0535,0.7711,2.3936,102.3936,4,1,,,
2026-03-08T20:20:00.966978172+00:00,R0308_200647,SETTLE,S3,btc,btc-updown-5m-1773000900,0,67179.71,,,0.01,,,,,,,,0.01,,,,,,,,,,,0.019,,,67102.8,67183.75,0.1206,UP,CL,0.99,0,0.3087,0.0121,-0.7072,0.9153,100.9153,3,2,,,
2026-03-08T20:20:00.967070191+00:00,R0308_200647,SETTLE,S3,eth,eth-updown-5m-1773000900,0,1959.02,,,0.01,,,,,,,,0.01,,,,,,,,,,,0.099,,,1955.44,1959.17,0.1908,UP,CL,0.99,0,0.3087,0.058,0.0786,1.701,101.701,4,1,,,
2026-03-08T20:20:10.397122324+00:00,R0308_200647,ENTRY,S3,btc,btc-updown-5m-1773001200,290,67178.02,0.5,0.49,0.01,175.2,152.6,49,50,0,0.51,0.5,0.01,152.6,175.2,50,49,0,0.501,0.511,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:20:10.397284609+00:00,R0308_200647,ENTRY,S3,eth,eth-updown-5m-1773001200,290,1959.21,0.52,0.51,0.01,41.2,88.1,51,48,0,0.49,0.48,0.01,88.1,41.2,48,51,0,0.521,0.491,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:20:10.397373684+00:00,R0308_200647,ENTRY,S3,xrp,xrp-updown-5m-1773001200,290,1.35,0.48,0.47,0.01,29.5,7,47,52,0,0.53,0.52,0.01,7,29.5,52,47,0,0.481,0.531,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:24:31.363720314+00:00,R0308_200647,DUMP,S3,xrp,xrp-updown-5m-1773001200,29,1.35,,,,,,,,,,,,,15,,81,8,,,,,DN,0.28,0.89,REAL,2.6365,1.35,1.35,0.0084,,,,,,,,,,,,,MAKER_FILL
2026-03-08T20:24:33.441076042+00:00,R0308_200647,DUMP,S3,btc,btc-updown-5m-1773001200,27,67053.15,,,,,,,,,,,,,752.3,,2,97,,,,,UP,0.019,0.02,REAL,0.1896,67184.99,67074.87,-0.1639,,,,,,,,,,,,,TAKER_FORCE
2026-03-08T20:24:33.441207791+00:00,R0308_200647,DUMP,S3,eth,eth-updown-5m-1773001200,27,1954.05,,,,,,,,,,,,,0,,0,99,,,,,UP,0.199,0.2,EST,1.9098,1959.22,1956.5,-0.1388,,,,,,,,,,,,,TAKER_FORCE|EST_BID
2026-03-08T20:25:00.935613199+00:00,R0308_200647,SETTLE,S3,btc,btc-updown-5m-1773001200,0,67052.83,,,0.01,,,,,,,,0.01,,,,,,,,,,,0.019,,,67184.99,67048.97,-0.2025,DOWN,CL,0,0.99,0.3087,0.0116,-0.346,2.94,102.94,6,3,,,
